,Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR
1682,36,Male,42769.95,Urban,Video,Travel,Search Engine,6,2024-03-07 20:45:56.903401,0.1343,0.0506
1683,67,Male,11891.82,Urban,Video,Travel,Search Engine,5,2023-06-24 20:45:56.903401,0.2681,0.0399
1684,49,Female,24098.61,Rural,Native,Food,Social Media,6,2023-08-07 20:45:56.903401,0.1344,0.0242
1685,33,Male,44871.17,Suburban,Banner,Food,Social Media,7,2023-06-10 20:45:56.903401,0.3351,0.0368
1686,38,Female,40665.4,Suburban,Video,Health,Search Engine,2,2024-03-12 20:45:56.903401,0.1261,0.0882
1687,29,Male,24082.21,Rural,Text,Fashion,Search Engine,0,2023-10-03 20:45:56.903401,0.0522,0.0334
1688,53,Female,38940.87,Urban,Banner,Health,Search Engine,8,2024-01-18 20:45:56.904436,0.2303,0.0
1691,56,Male,35888.37,Rural,Text,Fashion,Search Engine,5,2024-01-17 20:45:56.904436,0.0946,0.0232
1692,67,Male,74227.2,Urban,Video,Food,Search Engine,10,2023-12-20 20:45:56.904436,0.1318,0.063
1693,42,Female,57886.22,Urban,Video,Health,Website,3,2023-09-21 20:45:56.904436,0.4081,0.044
1694,36,Male,54774.57,Rural,Banner,Technology,Website,7,2023-04-22 20:45:56.904436,0.0875,0.0278
1695,44,Male,25250.36,Rural,Text,Technology,Search Engine,9,2023-09-26 20:45:56.904436,0.3138,0.0429
1696,25,Other,55403.63,Suburban,Text,Finance,Search Engine,4,2023-05-13 20:45:56.904436,0.3967,0.0612
1697,37,Female,42042.58,Suburban,Banner,Fashion,Social Media,5,2023-11-13 20:45:56.904436,0.3277,0.0586
1698,35,Female,26855.19,Rural,Video,Travel,Social Media,8,2024-04-13 20:45:56.904436,0.139,0.0524
1699,44,Male,111757.88,Rural,Text,Technology,Search Engine,8,2023-09-22 20:45:56.904436,0.2026,0.0456
1701,27,Male,86915.35,Rural,Text,Health,Search Engine,4,2023-09-19 20:45:56.904436,0.1893,0.0071
1702,47,Male,48621.82,Rural,Native,Finance,Social Media,7,2024-04-10 20:45:56.904436,0.2441,0.0664
1703,24,Male,68388.4,Suburban,Text,Fashion,Social Media,6,2023-07-25 20:45:56.904436,0.3074,0.0974
1704,20,Male,95234.35,Urban,Text,Finance,Search Engine,9,2023-08-30 20:45:56.904436,0.1367,0.0
1705,65,Male,62997.23,Suburban,Native,Health,Search Engine,3,2023-05-17 20:45:56.904436,0.1809,0.0444
1706,35,Female,34969.99,Rural,Video,Technology,Social Media,8,2023-09-15 20:45:56.904436,0.2505,0.03
1707,26,Female,29594.25,Urban,Text,Food,Social Media,4,2023-09-25 20:45:56.904436,0.2089,0.0452
1709,45,Male,57665.99,Suburban,Text,Health,Website,2,2024-01-12 20:45:56.904436,0.0562,0.067
1710,45,Female,117209.17,Suburban,Video,Technology,Search Engine,8,2023-05-24 20:45:56.904436,0.1353,0.0203
1711,30,Male,70143.48,Urban,Banner,Technology,Website,5,2023-12-02 20:45:56.904436,0.1895,0.0517
1712,18,Male,26128.36,Rural,Banner,Health,Website,4,2023-10-03 20:45:56.904436,0.1497,0.0192
1713,34,Male,55352.97,Suburban,Banner,Food,Social Media,2,2023-07-13 20:45:56.904436,0.0699,0.0639
1714,22,Male,56188.8,Rural,Banner,Finance,Website,4,2024-03-19 20:45:56.904436,0.2196,0.0933
1715,20,Male,74173.79,Rural,Native,Fashion,Social Media,3,2023-07-19 20:45:56.904436,0.103,0.0473
1716,33,Male,24266.69,Rural,Text,Technology,Social Media,5,2023-06-05 20:45:56.904436,0.2423,0.053
1717,19,Male,64336.16,Suburban,Text,Fashion,Search Engine,7,2023-09-15 20:45:56.904436,0.6061,0.0309
1718,38,Other,54724.87,Suburban,Native,Food,Website,8,2023-08-13 20:45:56.904436,0.2386,0.0659
1719,44,Female,38469.44,Rural,Video,Finance,Website,5,2023-09-30 20:45:56.904436,0.1466,0.0683
1720,22,Male,65079.22,Rural,Video,Finance,Social Media,3,2023-11-22 20:45:56.904436,0.4807,0.058
1722,58,Male,55941.44,Urban,Native,Travel,Search Engine,5,2023-07-12 20:45:56.904436,0.2447,0.0399
1723,20,Male,24818.6,Rural,Native,Health,Social Media,4,2023-12-25 20:45:56.904436,0.3189,0.0351
1724,25,Female,27389.67,Urban,Banner,Fashion,Website,3,2024-01-18 20:45:56.904436,0.2978,0.0223
1725,38,Male,62177.27,Rural,Text,Food,Search Engine,4,2023-08-12 20:45:56.904436,0.2037,0.0393
1726,43,Female,58571.52,Urban,Video,Health,Website,4,2023-10-28 20:45:56.904436,0.1646,0.0575
1727,31,Male,67580.85,Rural,Text,Travel,Search Engine,3,2023-10-03 20:45:56.904436,0.2035,0.0206
1728,41,Male,70595.2,Urban,Native,Travel,Search Engine,6,2023-07-06 20:45:56.904436,0.1481,0.0325
1729,28,Male,49699.47,Suburban,Native,Food,Search Engine,8,2023-10-21 20:45:56.904436,0.3226,0.0618
1730,20,Male,61345.04,Rural,Banner,Finance,Search Engine,6,2024-03-17 20:45:56.904436,0.1307,0.0408
1731,56,Female,89887.47,Suburban,Native,Travel,Website,8,2023-09-06 20:45:56.904436,0.3689,0.0585
1732,72,Male,44191.6,Suburban,Native,Finance,Social Media,7,2023-07-05 20:45:56.904436,0.1322,0.0671
1733,60,Female,95758.17,Rural,Video,Travel,Search Engine,6,2023-07-05 20:45:56.904436,0.2889,0.0598
1734,37,Male,36633.85,Suburban,Native,Health,Social Media,3,2023-07-16 20:45:56.904436,0.2211,0.0513
1735,62,Female,31971.47,Urban,Text,Food,Search Engine,3,2023-08-06 20:45:56.904436,0.0475,0.0351
1736,40,Other,72397.12,Suburban,Native,Health,Social Media,2,2023-11-01 20:45:56.904436,0.1179,0.0498
1737,27,Female,42182.67,Suburban,Native,Food,Search Engine,2,2023-05-08 20:45:56.904436,0.0173,0.0452
1738,41,Female,35761.8,Rural,Video,Food,Social Media,7,2023-12-29 20:45:56.904436,0.2849,0.0507
1739,33,Male,46655.48,Suburban,Text,Finance,Social Media,3,2023-09-01 20:45:56.904436,0.1403,0.0515
1740,20,Female,12456.58,Urban,Video,Technology,Website,10,2024-04-19 20:45:56.904436,0.1277,0.0805
1741,21,Male,79670.29,Rural,Text,Finance,Social Media,1,2024-04-03 20:45:56.904436,0.3438,0.0596
1742,47,Female,81133.39,Suburban,Text,Technology,Social Media,6,2024-03-29 20:45:56.904436,0.3204,0.0719
1744,44,Female,42014.22,Suburban,Native,Finance,Social Media,6,2023-09-29 20:45:56.904436,0.1522,0.0048
1748,64,Female,34933.67,Urban,Banner,Fashion,Social Media,9,2023-04-25 20:45:56.904436,0.1556,0.046
1749,32,Male,77294.85,Rural,Native,Health,Social Media,2,2023-10-18 20:45:56.904436,0.2573,0.074
1750,36,Male,79821.87,Urban,Video,Finance,Search Engine,4,2023-07-26 20:45:56.904436,0.1272,0.0854
1751,56,Female,32585.71,Rural,Native,Fashion,Search Engine,9,2023-09-02 20:45:56.904436,0.1832,0.0416
1752,49,Male,25942.6,Suburban,Video,Finance,Social Media,4,2024-01-31 20:45:56.904436,0.2096,0.0661
1754,48,Female,78777.28,Urban,Text,Finance,Social Media,4,2024-02-04 20:45:56.904436,0.1973,0.0356
1755,37,Male,34010.24,Suburban,Native,Finance,Search Engine,9,2023-12-16 20:45:56.904436,0.1011,0.0219
1756,29,Male,47560.03,Urban,Video,Travel,Search Engine,4,2024-02-01 20:45:56.904436,0.1441,0.0144
1757,35,Male,76312.25,Urban,Native,Fashion,Website,2,2023-06-01 20:45:56.904436,0.1005,0.038
1758,54,Male,58931.11,Suburban,Text,Food,Search Engine,5,2024-01-02 20:45:56.904436,0.2716,0.0305
1760,41,Female,17341.01,Urban,Banner,Food,Social Media,2,2023-07-07 20:45:56.904436,0.3376,0.0399
1761,34,Male,59860.78,Urban,Native,Technology,Website,6,2023-07-18 20:45:56.904436,0.4889,0.0649
1763,22,Male,69104.54,Urban,Video,Travel,Search Engine,4,2023-04-26 20:45:56.904436,0.0918,0.0407
1764,37,Male,33878.53,Rural,Native,Health,Social Media,2,2023-12-16 20:45:56.904436,0.3813,0.0579
1765,54,Male,25457.52,Urban,Native,Food,Website,5,2023-11-23 20:45:56.904436,0.0953,0.0572
1766,50,Male,81632.3,Suburban,Banner,Travel,Search Engine,6,2024-01-15 20:45:56.904436,0.1909,0.0303
1767,43,Male,71436.16,Rural,Video,Fashion,Website,4,2024-01-01 20:45:56.904436,0.1261,0.0734
1768,22,Female,51690.1,Rural,Native,Technology,Search Engine,5,2023-09-30 20:45:56.904436,0.1355,0.0484
1769,62,Female,70635.79,Urban,Native,Finance,Website,8,2023-05-06 20:45:56.904436,0.1079,0.0425
1770,38,Male,56864.89,Rural,Text,Technology,Search Engine,6,2024-01-18 20:45:56.904436,0.0753,0.0796
1771,19,Male,59103.2,Urban,Video,Fashion,Search Engine,7,2023-10-27 20:45:56.904436,0.3126,0.0656
1772,32,Male,55832.22,Suburban,Native,Food,Website,6,2023-06-12 20:45:56.904436,0.2497,0.0636
1773,48,Female,25878.44,Urban,Text,Food,Website,4,2024-04-09 20:45:56.904436,0.0994,0.0546
1774,35,Male,27190.69,Rural,Text,Health,Social Media,3,2024-04-13 20:45:56.904436,0.1499,0.0606
1775,48,Male,52650.23,Rural,Video,Food,Social Media,4,2023-11-18 20:45:56.904436,0.4457,0.0368
1776,51,Female,26938.27,Urban,Text,Travel,Search Engine,3,2023-12-31 20:45:56.904436,0.0847,0.0347
1777,41,Female,78873.65,Urban,Banner,Finance,Social Media,5,2023-12-30 20:45:56.904436,0.112,0.0503
1778,22,Male,76056.66,Rural,Native,Travel,Search Engine,5,2023-11-06 20:45:56.904436,0.3414,0.0961
1779,37,Other,59549.26,Suburban,Banner,Health,Website,9,2023-07-02 20:45:56.904436,0.2185,0.0504
1780,35,Male,5490.22,Suburban,Banner,Finance,Search Engine,6,2023-08-09 20:45:56.904436,0.0978,0.0811
1781,62,Male,41494.05,Rural,Banner,Food,Search Engine,8,2023-09-18 20:45:56.904436,0.1001,0.055
1783,32,Female,56750.15,Suburban,Native,Food,Search Engine,3,2023-10-03 20:45:56.904436,0.1676,0.0669
1784,26,Female,66733.58,Rural,Video,Travel,Social Media,4,2023-12-26 20:45:56.904436,0.4297,0.0688
1785,40,Other,19633.64,Suburban,Video,Health,Search Engine,5,2023-05-25 20:45:56.904436,0.2341,0.0231
1787,51,Other,56836.3,Urban,Banner,Travel,Social Media,2,2023-10-06 20:45:56.904436,0.1077,0.0359
1788,35,Female,30200.58,Rural,Text,Fashion,Search Engine,3,2023-07-30 20:45:56.904436,0.142,0.0609
1790,29,Other,37287.36,Suburban,Text,Finance,Search Engine,3,2023-08-12 20:45:56.904436,0.0957,0.0622
1791,44,Male,20854.07,Urban,Video,Food,Social Media,0,2024-04-02 20:45:56.904436,0.2068,0.0537
1793,35,Female,42391.56,Rural,Video,Health,Website,3,2024-04-01 20:45:56.904436,0.1614,0.068
1794,19,Female,74351.95,Suburban,Video,Food,Search Engine,5,2024-04-18 20:45:56.904436,0.1011,0.0781
1795,26,Male,52636.56,Suburban,Video,Fashion,Website,10,2023-06-04 20:45:56.904436,0.0766,0.0212
1796,35,Female,56455.14,Rural,Video,Travel,Social Media,4,2023-11-28 20:45:56.904436,0.0525,0.0712
1797,37,Male,43613.89,Rural,Text,Technology,Search Engine,3,2023-08-04 20:45:56.904436,0.0464,0.0454
1798,27,Female,72413.13,Suburban,Video,Technology,Social Media,3,2024-02-05 20:45:56.904436,0.3492,0.0344
1799,39,Male,30435.29,Rural,Text,Finance,Search Engine,3,2024-01-27 20:45:56.904436,0.1096,0.0277
1800,47,Other,100940.38,Rural,Banner,Fashion,Social Media,5,2023-10-05 20:45:56.904436,0.1082,0.0472
1801,30,Male,49454.57,Rural,Video,Travel,Search Engine,4,2023-07-03 20:45:56.904436,0.2573,0.063
1802,56,Male,76848.87,Urban,Native,Health,Social Media,6,2023-08-15 20:45:56.904436,0.0528,0.0772
1803,56,Male,77312.65,Rural,Native,Food,Social Media,4,2024-02-07 20:45:56.904436,0.3425,0.0039
1804,28,Male,53860.74,Rural,Banner,Health,Search Engine,7,2024-03-02 20:45:56.904436,0.1439,0.0513
1805,25,Male,59265.52,Rural,Text,Travel,Social Media,9,2023-07-21 20:45:56.904436,0.1013,0.0267
1807,33,Male,60729.46,Suburban,Native,Travel,Social Media,5,2024-03-07 20:45:56.904436,0.3607,0.0378
1808,29,Female,39640.02,Urban,Video,Finance,Search Engine,6,2023-06-28 20:45:56.904436,0.1027,0.0708
1809,46,Male,66579.15,Suburban,Video,Health,Website,3,2023-08-26 20:45:56.904436,0.1553,0.0505
1811,30,Male,35583.82,Urban,Video,Technology,Social Media,3,2024-02-02 20:45:56.904436,0.161,0.0573
1812,49,Female,60140.53,Rural,Banner,Finance,Search Engine,3,2023-09-01 20:45:56.904436,0.0788,0.019
1813,24,Male,50373.03,Urban,Text,Finance,Website,6,2023-11-02 20:45:56.904436,0.1148,0.0386
1814,23,Female,50616.3,Urban,Banner,Fashion,Search Engine,5,2024-01-31 20:45:56.904436,0.2428,0.0331
1816,74,Male,42973.6,Urban,Video,Fashion,Social Media,8,2024-02-08 20:45:56.904436,0.2291,0.0615
1817,23,Male,44440.21,Urban,Text,Finance,Search Engine,9,2023-11-12 20:45:56.904436,0.0597,0.0396
1819,22,Male,50211.19,Rural,Native,Health,Website,6,2023-12-05 20:45:56.904436,0.1519,0.033
1820,23,Female,28485.92,Rural,Text,Food,Search Engine,7,2023-11-30 20:45:56.904436,0.2301,0.0554
1821,30,Male,69700.92,Rural,Banner,Fashion,Social Media,1,2023-08-10 20:45:56.904436,0.1234,0.042
1822,47,Male,49199.41,Suburban,Video,Fashion,Search Engine,2,2023-10-05 20:45:56.904436,0.1506,0.0399
1823,30,Male,44916.51,Rural,Video,Food,Social Media,7,2023-08-02 20:45:56.904436,0.427,0.0203
1824,21,Female,54894.66,Rural,Text,Finance,Social Media,4,2023-10-17 20:45:56.904436,0.2096,0.06
1826,35,Female,77591.28,Urban,Video,Finance,Search Engine,9,2024-04-18 20:45:56.904436,0.118,0.0629
1827,35,Male,45400.39,Urban,Text,Technology,Social Media,5,2023-11-17 20:45:56.904436,0.111,0.0941
1828,57,Male,70012.45,Suburban,Text,Fashion,Social Media,4,2023-11-04 20:45:56.904436,0.1393,0.0399
1829,36,Male,60544.46,Urban,Text,Fashion,Search Engine,3,2023-11-14 20:45:56.904436,0.2849,0.0692
1830,33,Female,67810.31,Urban,Banner,Technology,Website,3,2024-04-04 20:45:56.904436,0.3934,0.0345
1831,19,Female,91745.9,Rural,Text,Technology,Social Media,7,2024-04-11 20:45:56.904436,0.0922,0.0329
1832,30,Female,63065.38,Suburban,Banner,Fashion,Social Media,2,2024-01-06 20:45:56.904436,0.0972,0.0307
1833,28,Female,42473.65,Rural,Video,Fashion,Website,4,2024-03-05 20:45:56.904436,0.2719,0.0865
1834,29,Male,63563.75,Rural,Native,Fashion,Search Engine,3,2023-05-12 20:45:56.904436,0.3604,0.0725
1835,20,Female,57313.69,Suburban,Video,Health,Search Engine,4,2023-10-31 20:45:56.904436,0.2984,0.0676
1836,43,Male,68613.48,Suburban,Native,Finance,Social Media,3,2023-10-29 20:45:56.904436,0.1725,0.0688
1837,32,Male,54833.97,Rural,Banner,Technology,Social Media,5,2023-10-10 20:45:56.904436,0.2751,0.031
1838,31,Male,42690.12,Suburban,Video,Travel,Search Engine,2,2024-01-29 20:45:56.904436,0.0907,0.0401
1840,42,Female,52655.64,Suburban,Banner,Travel,Social Media,4,2024-01-19 20:45:56.904436,0.046,0.042
1841,42,Male,78276.64,Urban,Video,Travel,Website,5,2024-02-01 20:45:56.904436,0.0282,0.0652
1842,22,Other,35250.26,Urban,Native,Food,Social Media,4,2024-03-08 20:45:56.904436,0.4439,0.0319
1843,49,Other,37574.61,Suburban,Video,Technology,Search Engine,4,2024-02-13 20:45:56.904436,0.1168,0.0579
1845,34,Male,14281.61,Suburban,Video,Travel,Website,4,2023-11-08 20:45:56.904436,0.463,0.0616
1846,30,Male,43526.47,Suburban,Native,Fashion,Website,7,2024-03-07 20:45:56.904436,0.1389,0.0323
1848,37,Male,15746.76,Suburban,Video,Food,Search Engine,4,2023-06-15 20:45:56.904436,0.4097,0.0618
1849,60,Female,57499.6,Suburban,Banner,Travel,Search Engine,7,2023-10-04 20:45:56.904436,0.1842,0.0548
1850,36,Male,42723.46,Urban,Video,Finance,Website,6,2024-01-31 20:45:56.904436,0.2155,0.0314
1851,28,Male,45336.41,Suburban,Banner,Health,Search Engine,5,2023-09-22 20:45:56.904436,0.3511,0.0478
1852,41,Other,59800.94,Rural,Native,Fashion,Website,6,2023-05-01 20:45:56.904436,0.0958,0.0646
1853,36,Male,46762.58,Suburban,Native,Fashion,Website,4,2023-08-09 20:45:56.904436,0.1719,0.034
1854,35,Female,20985.85,Rural,Video,Fashion,Search Engine,1,2023-07-30 20:45:56.904436,0.2112,0.0979
1855,28,Male,58126.37,Urban,Video,Technology,Social Media,4,2023-12-17 20:45:56.904436,0.3417,0.0483
1856,56,Female,47919.38,Urban,Banner,Travel,Social Media,6,2023-07-19 20:45:56.904436,0.4156,0.0315
1857,41,Female,65932.06,Suburban,Native,Health,Search Engine,8,2023-12-20 20:45:56.904436,0.1205,0.0593
1858,27,Other,43382.18,Suburban,Banner,Food,Website,8,2023-05-07 20:45:56.904436,0.2459,0.0177
1859,33,Female,91080.22,Suburban,Banner,Fashion,Search Engine,6,2023-12-24 20:45:56.904436,0.1409,0.0394
1860,23,Male,33626.66,Rural,Native,Health,Website,8,2023-08-07 20:45:56.904436,0.0958,0.0309
1861,25,Male,51902.76,Rural,Video,Finance,Search Engine,3,2023-09-29 20:45:56.904436,0.2103,0.083
1862,25,Male,56322.37,Urban,Video,Fashion,Social Media,8,2023-08-15 20:45:56.904436,0.451,0.0604
1864,46,Female,44058.53,Suburban,Native,Finance,Website,6,2023-08-26 20:45:56.904436,0.1776,0.0236
1865,30,Male,51666.14,Rural,Banner,Travel,Social Media,3,2023-08-01 20:45:56.904436,0.2554,0.0607
1866,43,Male,80334.59,Suburban,Text,Travel,Website,0,2023-05-05 20:45:56.904436,0.4291,0.0812
1867,24,Male,60657.53,Urban,Text,Fashion,Social Media,5,2024-04-17 20:45:56.904436,0.098,0.0259
1868,34,Male,56056.97,Urban,Video,Health,Search Engine,5,2023-11-26 20:45:56.904436,0.2071,0.0563
1869,24,Female,21586.89,Rural,Text,Finance,Search Engine,4,2023-08-16 20:45:56.904436,0.0385,0.0624
1870,45,Female,41340.52,Rural,Native,Fashion,Search Engine,2,2023-07-09 20:45:56.904436,0.1088,0.058
1871,31,Female,77295.77,Suburban,Banner,Travel,Social Media,6,2023-06-28 20:45:56.904436,0.4106,0.061
1872,24,Male,49603.53,Urban,Native,Travel,Website,7,2023-07-25 20:45:56.904436,0.0264,0.048
1874,39,Other,1303.99,Suburban,Native,Food,Website,10,2023-12-20 20:45:56.904436,0.5221,0.046
1875,24,Female,62732.35,Suburban,Banner,Travel,Social Media,6,2023-10-28 20:45:56.904436,0.3399,0.0493
1876,34,Male,42871.07,Rural,Banner,Travel,Search Engine,3,2023-11-20 20:45:56.904436,0.1111,0.0485
1877,27,Other,62279.97,Rural,Native,Fashion,Website,1,2023-12-17 20:45:56.904436,0.2845,0.0649
1878,49,Female,51810.85,Suburban,Banner,Technology,Website,7,2024-03-14 20:45:56.904436,0.2496,0.0684
1879,43,Male,49024.72,Suburban,Banner,Fashion,Social Media,4,2024-04-16 20:45:56.904436,0.2186,0.0333
1880,41,Other,35928.47,Urban,Native,Fashion,Website,10,2024-02-24 20:45:56.904436,0.1269,0.0447
1881,25,Female,56982.27,Suburban,Native,Fashion,Social Media,4,2023-12-01 20:45:56.904436,0.1183,0.0205
1882,41,Male,16303.18,Urban,Banner,Technology,Search Engine,8,2023-04-22 20:45:56.904436,0.3587,0.0632
1883,60,Male,54714.57,Rural,Text,Health,Search Engine,8,2024-03-08 20:45:56.904436,0.1519,0.0485
1884,22,Female,73434.72,Suburban,Video,Finance,Search Engine,6,2023-04-28 20:45:56.904436,0.2478,0.0329
1885,37,Other,33037.15,Suburban,Banner,Technology,Website,1,2023-09-30 20:45:56.904436,0.2106,0.0507
1887,55,Male,56373.78,Rural,Banner,Fashion,Website,8,2024-01-15 20:45:56.904436,0.1529,0.0366
1888,29,Male,55482.15,Rural,Native,Technology,Website,6,2023-06-15 20:45:56.904436,0.0971,0.0491
1889,46,Male,57458.23,Urban,Text,Travel,Social Media,8,2024-03-04 20:45:56.904436,0.1014,0.0499
1891,61,Female,41083.13,Urban,Native,Food,Search Engine,4,2023-08-12 20:45:56.904436,0.2869,0.0626
1892,29,Male,42451.45,Urban,Banner,Fashion,Website,3,2023-08-19 20:45:56.904436,0.174,0.0649
1893,43,Female,63219.5,Urban,Text,Travel,Search Engine,7,2023-10-16 20:45:56.904436,0.1743,0.0435
1894,37,Male,29129.96,Urban,Video,Food,Website,8,2023-08-04 20:45:56.904436,0.1377,0.1056
1895,31,Other,26633.85,Urban,Video,Travel,Social Media,3,2023-09-07 20:45:56.904436,0.6127,0.0582
1896,60,Female,54463.9,Suburban,Text,Health,Search Engine,3,2023-12-28 20:45:56.904436,0.1715,0.048
1898,39,Female,60667.59,Rural,Video,Finance,Website,2,2023-10-09 20:45:56.904436,0.185,0.0599
1899,48,Female,41570.5,Urban,Video,Technology,Social Media,4,2024-02-17 20:45:56.904436,0.1681,0.0756
1900,34,Male,32606.45,Urban,Native,Fashion,Search Engine,3,2023-04-24 20:45:56.904436,0.1777,0.0719
1901,33,Female,38968.73,Urban,Banner,Health,Search Engine,8,2023-12-07 20:45:56.904436,0.3785,0.0328
1902,32,Female,48540.63,Suburban,Video,Technology,Search Engine,8,2023-12-12 20:45:56.904436,0.13,0.0677
1904,35,Female,34194.61,Rural,Video,Travel,Social Media,2,2023-06-15 20:45:56.904436,0.2925,0.05
1905,42,Female,55808.91,Suburban,Text,Fashion,Website,4,2023-04-24 20:45:56.904436,0.2293,0.0666
1906,36,Male,81675.77,Rural,Video,Health,Social Media,1,2023-08-20 20:45:56.904436,0.1733,0.0355
1907,30,Female,28473.35,Suburban,Banner,Finance,Website,6,2024-01-25 20:45:56.904436,0.1739,0.0409
1908,27,Male,50753.31,Urban,Text,Travel,Social Media,2,2023-09-15 20:45:56.904436,0.0932,0.0457
1909,30,Male,19763.93,Suburban,Banner,Travel,Website,3,2023-09-21 20:45:56.904436,0.5548,0.0851
1910,53,Male,50138.7,Suburban,Banner,Finance,Search Engine,4,2024-03-11 20:45:56.904436,0.0555,0.0692
1912,35,Male,62074.21,Suburban,Native,Travel,Website,5,2023-09-27 20:45:56.904436,0.089,0.0384
1913,30,Male,51929.6,Rural,Video,Fashion,Search Engine,3,2024-04-16 20:45:56.904436,0.2708,0.0473
1914,56,Female,80724.87,Rural,Banner,Fashion,Search Engine,5,2023-04-30 20:45:56.904436,0.1916,0.066
1915,35,Male,55990.28,Rural,Video,Technology,Search Engine,8,2024-03-07 20:45:56.904436,0.1299,0.0356
1916,57,Female,74428.82,Urban,Text,Technology,Social Media,2,2023-11-10 20:45:56.904436,0.029,0.0228
1918,41,Female,48240.07,Rural,Banner,Fashion,Social Media,6,2023-11-24 20:45:56.904436,0.5128,0.0579
1919,39,Male,62234.06,Rural,Text,Finance,Website,9,2024-01-28 20:45:56.904436,0.1864,0.025
1920,55,Female,43958.03,Urban,Banner,Finance,Search Engine,2,2024-03-17 20:45:56.904436,0.0347,0.0768
1922,32,Female,44550.62,Urban,Native,Finance,Social Media,8,2023-06-18 20:45:56.904436,0.2096,0.0508
1923,35,Female,47671.28,Suburban,Native,Finance,Social Media,6,2023-07-29 20:45:56.904436,0.2651,0.0669
1924,27,Other,39472.46,Suburban,Native,Travel,Search Engine,8,2023-07-08 20:45:56.904436,0.1949,0.0224
1925,53,Male,54111.48,Rural,Video,Finance,Search Engine,3,2023-07-21 20:45:56.904436,0.2028,0.0377
1926,29,Female,17297.4,Rural,Native,Technology,Social Media,7,2024-03-13 20:45:56.904436,0.444,0.0548
1927,65,Female,46557.54,Rural,Video,Finance,Website,5,2023-09-28 20:45:56.904436,0.2974,0.0669
1928,50,Female,59884.35,Urban,Banner,Health,Website,7,2023-10-15 20:45:56.904436,0.1334,0.0525
1929,49,Male,37043.84,Suburban,Native,Travel,Social Media,10,2023-06-04 20:45:56.904436,0.4829,0.0519
1930,43,Male,34359.84,Rural,Native,Technology,Website,5,2024-02-19 20:45:56.904436,0.265,0.0764
1931,19,Male,75068.09,Urban,Text,Travel,Website,1,2023-10-09 20:45:56.904436,0.0499,0.0593
1932,28,Male,31061.39,Urban,Text,Technology,Search Engine,6,2024-03-05 20:45:56.904436,0.1208,0.0507
1933,43,Male,91413.87,Rural,Video,Finance,Website,9,2023-05-17 20:45:56.904436,0.5044,0.0456
1934,45,Male,63066.3,Suburban,Text,Technology,Social Media,8,2023-10-04 20:45:56.904436,0.2095,0.0652
1935,54,Male,61549.16,Rural,Banner,Technology,Social Media,8,2024-02-29 20:45:56.904436,0.1967,0.0687
1936,27,Male,11320.59,Urban,Text,Technology,Search Engine,10,2023-06-13 20:45:56.904436,0.1473,0.0313
1937,22,Female,65213.04,Urban,Banner,Finance,Search Engine,5,2024-04-17 20:45:56.904436,0.0979,0.0122
1938,47,Female,85889.55,Urban,Video,Finance,Social Media,4,2024-03-04 20:45:56.904436,0.137,0.0497
1939,22,Male,28334.29,Rural,Video,Food,Social Media,4,2024-04-08 20:45:56.904436,0.1321,0.0657
1940,48,Male,64156.97,Suburban,Banner,Travel,Social Media,3,2023-12-30 20:45:56.904436,0.2399,0.0238
1941,52,Male,19180.91,Suburban,Banner,Fashion,Website,7,2023-11-01 20:45:56.904436,0.2341,0.072
1942,41,Male,19145.46,Urban,Banner,Finance,Social Media,4,2023-07-04 20:45:56.904436,0.1219,0.0501
1943,29,Male,36615.26,Urban,Text,Health,Search Engine,5,2023-11-01 20:45:56.904436,0.1112,0.0538
1944,35,Male,70459.16,Rural,Native,Travel,Website,3,2023-06-01 20:45:56.904436,0.4139,0.0424
1945,43,Other,78387.2,Rural,Native,Fashion,Social Media,8,2023-10-11 20:45:56.904436,0.3501,0.0751
1946,35,Male,31732.91,Urban,Banner,Fashion,Website,5,2023-05-30 20:45:56.904436,0.092,0.0006
1947,67,Male,59680.15,Rural,Video,Food,Search Engine,2,2023-06-19 20:45:56.904436,0.241,0.0543
1948,20,Female,30493.0,Urban,Banner,Technology,Website,5,2023-08-29 20:45:56.904436,0.1485,0.0546
1949,19,Male,54373.0,Urban,Native,Technology,Social Media,4,2023-10-11 20:45:56.904436,0.1865,0.0686
1950,20,Female,53071.69,Rural,Banner,Travel,Search Engine,8,2023-10-21 20:45:56.904436,0.0692,0.0436
1951,26,Male,23422.5,Urban,Video,Technology,Social Media,4,2023-10-16 20:45:56.904436,0.2606,0.0313
1953,25,Female,33913.07,Suburban,Text,Food,Search Engine,5,2023-12-16 20:45:56.904436,0.3245,0.0535
1954,25,Male,34524.27,Urban,Native,Travel,Website,7,2023-08-16 20:45:56.904436,0.2551,0.0413
1955,36,Other,49549.53,Urban,Native,Food,Social Media,5,2023-04-28 20:45:56.904436,0.0353,0.0551
1956,41,Male,7386.02,Urban,Video,Technology,Search Engine,8,2024-03-24 20:45:56.904436,0.204,0.0429
1958,48,Female,47074.01,Urban,Banner,Health,Social Media,5,2023-07-01 20:45:56.904436,0.374,0.0168
1959,62,Male,57516.9,Suburban,Native,Health,Social Media,8,2023-05-23 20:45:56.904436,0.1376,0.0453
1960,31,Other,39034.48,Rural,Video,Technology,Social Media,3,2023-11-13 20:45:56.904436,0.213,0.0736
